datetime,city_name,lat,lon,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,rain,thunder,thunder_count
2022-10-09 18:00:00,54,4.99719,-72.7074,24.95,21.46,25.62,24.24,25.24,1010,81,1.57,90,0.0,99,0,0,0
2022-10-09 19:00:00,54,4.99719,-72.7074,24.61,22.11,25.37,23.83,25.14,1011,86,1.28,75,0.0,98,0,1,1
2022-10-09 20:00:00,54,4.99719,-72.7074,24.74,22.43,25.54,24.01,25.28,1013,87,1.18,64,0.0,99,0,0,0
2022-10-09 21:00:00,54,4.99719,-72.7074,23.76,22.2,24.57,22.96,24.29,1014,91,1.21,64,0.0,100,0,1,1
2022-10-09 22:00:00,54,4.99719,-72.7074,23.18,21.63,23.93,22.39,23.56,1014,91,0.73,23,0.0,98,0,1,2
2022-10-09 23:00:00,54,4.99719,-72.7074,23.41,21.31,24.1,22.75,23.71,1015,88,0.98,342,0.0,93,0,0,0
2022-10-10 00:00:00,54,4.99719,-72.7074,23.12,20.27,23.68,22.26,23.72,1014,84,0.96,326,0.0,87,0,0,0
2022-10-10 01:00:00,54,4.99719,-72.7074,23.25,20.01,23.77,22.28,23.9,1013,82,0.54,306,0.0,77,0,0,0
2022-10-10 02:00:00,54,4.99719,-72.7074,22.92,19.68,23.41,21.96,23.61,1012,82,0.45,309,0.0,68,0,0,0
2022-10-10 03:00:00,54,4.99719,-72.7074,22.97,19.13,23.39,22.19,23.72,1012,79,0.42,333,0.0,86,0,0,0
2022-10-10 04:00:00,54,4.99719,-72.7074,22.69,19.26,23.13,21.94,23.38,1012,81,0.7,355,0.0,88,0,0,0
2022-10-10 05:00:00,54,4.99719,-72.7074,21.85,19.77,22.39,20.8,22.59,1012,88,1.43,349,0.0,93,0,0,0
2022-10-10 06:00:00,54,4.99719,-72.7074,22.15,19.88,22.69,21.29,22.59,1013,87,1.35,338,0.0,96,0,0,0
2022-10-10 07:00:00,54,4.99719,-72.7074,23.98,19.91,24.47,23.23,24.28,1014,78,0.98,319,0.0,99,0,0,0
2022-10-10 08:00:00,54,4.99719,-72.7074,25.42,20.88,26.0,24.97,25.65,1015,76,0.17,294,0.0,91,0,0,0
2022-10-10 09:00:00,54,4.99719,-72.7074,28.51,21.29,30.92,28.11,28.8,1016,65,0.41,132,0.0,89,0,0,0
2022-10-10 10:00:00,54,4.99719,-72.7074,28.74,21.51,31.35,28.46,29.0,1016,65,0.63,131,0.0,83,0,0,0
2022-10-10 11:00:00,54,4.99719,-72.7074,29.12,21.87,32.07,28.84,29.28,1015,65,0.86,124,0.0,58,0,0,0
2022-10-10 12:00:00,54,4.99719,-72.7074,30.23,22.92,34.38,30.0,30.55,1013,65,1.29,112,0.0,22,0,0,0
2022-10-10 13:00:00,54,4.99719,-72.7074,30.38,22.54,34.25,30.17,30.69,1012,63,1.6,106,0.2,19,1,0,0
2022-10-10 14:00:00,54,4.99719,-72.7074,29.68,21.62,32.61,29.2,30.03,1011,62,1.34,105,0.16,50,1,0,0
2022-10-10 15:00:00,54,4.99719,-72.7074,29.61,21.82,32.67,29.31,30.22,1010,63,1.21,112,0.16,58,1,0,0
2022-10-10 16:00:00,54,4.99719,-72.7074,30.09,22.01,33.42,29.71,30.63,1009,62,0.45,124,0.0,83,0,0,0
2022-10-10 17:00:00,54,4.99719,-72.7074,27.39,21.9,29.74,26.55,27.9,1009,72,0.75,124,0.0,29,0,0,0
2022-10-10 18:00:00,54,4.99719,-72.7074,26.92,20.51,28.57,26.19,27.78,1009,68,0.75,118,0.0,42,0,0,0
2022-10-10 19:00:00,54,4.99719,-72.7074,26.42,21.41,26.42,26.07,27.08,1011,74,1.01,76,0.0,56,0,0,0
2022-10-10 20:00:00,54,4.99719,-72.7074,25.13,21.84,25.84,24.62,25.58,1012,82,1.41,63,0.0,27,0,0,0
2022-10-10 21:00:00,54,4.99719,-72.7074,24.85,21.76,25.56,24.25,25.35,1014,83,1.13,55,0.0,31,0,0,0
2022-10-10 22:00:00,54,4.99719,-72.7074,25.31,21.81,26.01,24.66,25.8,1015,81,0.73,336,0.0,33,0,0,0
2022-10-10 23:00:00,54,4.99719,-72.7074,25.23,21.74,25.92,24.38,25.61,1015,81,0.97,303,0.0,40,0,0,0
2022-10-11 00:00:00,54,4.99719,-72.7074,23.57,21.09,24.23,22.64,24.02,1015,86,1.01,297,0.0,36,0,0,0
2022-10-11 01:00:00,54,4.99719,-72.7074,23.07,20.03,23.6,22.06,23.58,1014,83,1.11,299,0.0,25,0,0,0
2022-10-11 02:00:00,54,4.99719,-72.7074,22.65,20.0,23.19,21.47,23.48,1013,85,0.99,310,0.0,30,0,0,0
2022-10-11 03:00:00,54,4.99719,-72.7074,22.41,20.32,23.0,20.94,23.73,1013,88,0.7,314,0.0,29,0,0,0
2022-10-11 04:00:00,54,4.99719,-72.7074,21.77,19.69,22.3,20.68,22.66,1013,88,0.8,321,0.0,42,0,1,46
2022-10-11 05:00:00,54,4.99719,-72.7074,21.8,19.91,22.36,20.72,22.42,1014,89,0.8,321,0.0,95,0,1,125
2022-10-11 06:00:00,54,4.99719,-72.7074,22.1,20.02,22.66,21.15,22.52,1015,88,0.54,320,0.0,100,0,1,66
2022-10-11 07:00:00,54,4.99719,-72.7074,23.22,21.12,23.9,22.36,23.62,1016,88,0.49,326,0.0,99,0,1,165
2022-10-11 08:00:00,54,4.99719,-72.7074,23.79,20.53,24.37,23.35,24.34,1017,82,0.69,113,0.0,100,0,1,112
2022-10-11 09:00:00,54,4.99719,-72.7074,24.43,20.14,24.94,24.09,24.95,1018,77,0.65,137,0.0,100,0,1,30
2022-10-11 10:00:00,54,4.99719,-72.7074,25.19,19.56,25.62,24.89,25.65,1018,71,0.42,173,0.0,100,0,0,0
2022-10-11 11:00:00,54,4.99719,-72.7074,26.16,20.26,26.16,25.68,26.43,1018,70,0.5,198,0.0,100,0,0,0
2022-10-11 12:00:00,54,4.99719,-72.7074,27.0,20.59,28.69,26.57,27.24,1016,68,0.48,220,0.0,100,0,0,0
2022-10-11 13:00:00,54,4.99719,-72.7074,27.19,20.77,29.0,26.78,27.55,1015,68,0.29,274,0.0,99,0,0,0
2022-10-11 14:00:00,54,4.99719,-72.7074,27.81,20.88,29.83,27.21,28.12,1013,66,1.02,131,0.0,100,0,0,0
2022-10-11 15:00:00,54,4.99719,-72.7074,26.41,20.26,26.41,25.85,26.83,1013,69,1.04,120,0.0,100,0,0,0
2022-10-11 16:00:00,54,4.99719,-72.7074,25.25,19.84,25.71,24.73,25.65,1012,72,0.97,113,0.0,100,0,0,0
2022-10-11 17:00:00,54,4.99719,-72.7074,23.36,19.71,23.84,23.01,23.65,1013,80,0.84,52,0.0,100,0,0,0
2022-10-11 18:00:00,54,4.99719,-72.7074,23.12,19.28,23.55,22.86,23.75,1012,79,1.18,33,0.0,98,0,0,0
2022-10-11 19:00:00,54,4.99719,-72.7074,23.4,19.55,23.86,23.0,23.83,1012,79,0.42,112,0.0,99,0,0,0
2022-10-11 20:00:00,54,4.99719,-72.7074,22.34,20.07,22.9,21.69,22.66,1013,87,0.47,185,0.0,94,0,0,0
2022-10-11 21:00:00,54,4.99719,-72.7074,22.19,19.92,22.74,21.6,22.79,1013,87,0.38,119,0.2,91,1,0,0
2022-10-11 22:00:00,54,4.99719,-72.7074,22.76,19.92,23.28,22.12,23.53,1014,84,0.37,138,0.0,91,0,0,0
2022-10-11 23:00:00,54,4.99719,-72.7074,22.96,20.3,23.53,22.4,23.53,1014,85,0.35,77,0.0,58,0,0,0
2022-10-12 00:00:00,54,4.99719,-72.7074,22.69,20.23,23.26,21.76,23.23,1013,86,0.48,8,0.0,71,0,0,0
2022-10-12 01:00:00,54,4.99719,-72.7074,21.96,19.7,22.48,20.86,22.74,1013,87,0.26,343,0.0,71,0,0,0
2022-10-12 02:00:00,54,4.99719,-72.7074,22.06,18.25,22.38,21.19,22.92,1013,79,0.47,311,0.0,72,0,0,0
2022-10-12 03:00:00,54,4.99719,-72.7074,21.19,18.19,21.53,20.46,22.02,1013,83,0.56,305,0.0,77,0,0,0
2022-10-12 04:00:00,54,4.99719,-72.7074,20.22,18.53,20.65,19.26,20.85,1013,90,0.67,325,0.0,73,0,0,0
2022-10-12 05:00:00,54,4.99719,-72.7074,21.13,19.78,21.7,20.04,22.14,1013,92,0.86,336,0.0,40,0,0,0
2022-10-12 06:00:00,54,4.99719,-72.7074,21.1,19.57,21.64,20.06,21.91,1014,91,0.56,325,0.0,86,0,0,0
2022-10-12 07:00:00,54,4.99719,-72.7074,22.05,19.41,22.53,21.4,22.37,1015,85,0.6,315,0.0,85,0,0,0
2022-10-12 08:00:00,54,4.99719,-72.7074,23.63,19.98,24.14,23.04,24.23,1016,80,0.26,272,0.0,78,0,0,0
2022-10-12 09:00:00,54,4.99719,-72.7074,25.67,20.02,26.15,25.24,26.22,1016,71,0.45,180,0.0,75,0,0,0
2022-10-12 10:00:00,54,4.99719,-72.7074,26.82,20.66,28.48,26.45,27.22,1016,69,0.72,155,0.0,89,0,0,0
2022-10-12 11:00:00,54,4.99719,-72.7074,27.09,20.68,28.84,26.71,27.36,1016,68,1.12,146,0.0,83,0,0,0
2022-10-12 12:00:00,54,4.99719,-72.7074,27.41,20.98,29.37,27.06,27.57,1014,68,1.25,135,0.0,94,0,0,0
2022-10-12 13:00:00,54,4.99719,-72.7074,26.8,20.87,28.52,26.18,27.25,1013,70,1.04,136,0.0,92,0,0,0
2022-10-12 14:00:00,54,4.99719,-72.7074,27.42,21.69,29.69,26.71,27.96,1011,71,0.42,42,0.0,96,0,0,0
2022-10-12 15:00:00,54,4.99719,-72.7074,26.91,22.1,29.11,26.42,27.66,1010,75,0.41,30,0.0,92,0,0,0
2022-10-12 16:00:00,54,4.99719,-72.7074,27.29,22.03,29.65,26.65,28.11,1009,73,0.03,211,0.0,96,0,0,0
2022-10-12 17:00:00,54,4.99719,-72.7074,25.91,21.35,26.54,25.15,26.28,1009,76,0.54,148,0.0,100,0,0,0
2022-10-12 18:00:00,54,4.99719,-72.7074,26.09,20.65,26.09,24.84,26.87,1009,72,0.66,86,0.0,95,0,0,0
2022-10-12 19:00:00,54,4.99719,-72.7074,24.17,20.7,24.76,23.39,24.72,1010,81,1.23,63,0.0,99,0,0,0
